Feature	CompGroup(C)	BaseGroup(B)	NumSamplesInC	NumSamplesInB	SignedFC	Tstatistic	Parameter	Pvalue	95%Conf.Int.1	95%Conf.Int.2	MeanC	MeanB	NullValue-DifferenceInMeans	Alternative	Method	FDR
61	241727_x_at|DHFR2	Incipent	Control	7	8	1.21445420488175	3.76525489732271	12.9505843054209	0.00237290940025784	0.119414923255783	0.441201255315646	4.51029171428571	4.229983625	0	two.sided	Welch Two Sample t-test	0.999448188432275
62	231234_at|CTSC	Incipent	Control	7	8	-1.30298271570425	-3.77118731559472	12.2048138395592	0.00259089664280828	-0.602004334538867	-0.161631558318277	1.68333742857143	2.065155375	0	two.sided	Welch Two Sample t-test	0.999448188432275
63	1553044_at|GJA10	Incipent	Control	7	8	-1.19894840382548	-3.79636339375083	11.798664261357	0.00262187154162503	-0.412289466982149	-0.111249681803565	1.63622734185714	1.89799691625	0	two.sided	Welch Two Sample t-test	0.999448188432275
64	232253_at|IRF1-AS1	Incipent	Control	7	8	1.2900041246971	4.20897616348378	8.34023557766634	0.00269700509369489	0.167519056374767	0.567232300768091	2.97538542857143	2.60800975	0	two.sided	Welch Two Sample t-test	0.999448188432275
65	1556655_s_at|CDK12	Incipent	Control	7	8	1.35332239566439	3.67776479824717	12.9962029681293	0.00278698318871376	0.180088692854401	0.692922440645599	5.542275449	5.10576988225	0	two.sided	Welch Two Sample t-test	0.999448188432275
66	244166_at|LOC105373334	Incipent	Control	7	8	1.30631103533176	3.68961542184273	12.7760042415257	0.00279921824942498	0.159375834112793	0.61162105874435	3.93112357142857	3.545625125	0	two.sided	Welch Two Sample t-test	0.999448188432275
67	228716_at|THRB	Incipent	Control	7	8	-1.58977831801109	-3.70798980827562	12.4940203463901	0.00280240323863097	-1.06011060025865	-0.27754061402707	4.64846914285714	5.31729475	0	two.sided	Welch Two Sample t-test	0.999448188432275
68	207168_s_at|MACROH2A1	Incipent	Control	7	8	-1.19272835062055	-3.67362964558469	12.9769292863543	0.0028155659296882	-0.403819635194248	-0.104711364805754	7.797997	8.0522625	0	two.sided	Welch Two Sample t-test	0.999448188432275
69	225959_s_at|ZNRF1	Incipent	Control	7	8	-1.49137273831369	-3.65312118836809	12.9932227096	0.00292221920349472	-0.917670603940088	-0.235611146059912	6.419505	6.996145875	0	two.sided	Welch Two Sample t-test	0.999448188432275
70	239357_at|ATP2B2	Incipent	Control	7	8	-1.25737804892413	-3.64744333876466	12.9746995166803	0.00296053945789498	-0.526163059318724	-0.134673904966991	6.42924914285714	6.759667625	0	two.sided	Welch Two Sample t-test	0.999448188432275
71	35254_at|TRAFD1	Incipent	Control	7	8	1.27870561242276	3.73525377250038	11.3200952017158	0.00313762423670243	0.146406532708754	0.562961788719817	3.02595428571429	2.671270125	0	two.sided	Welch Two Sample t-test	0.999448188432275
72	212063_at|CD44	Incipent	Control	7	8	1.58798201321599	3.6111203416067	12.9723480677666	0.00317397114822479	0.267955971933731	1.06643317092341	3.06504057142857	2.397846	0	two.sided	Welch Two Sample t-test	0.999448188432275
73	228502_at|RPS6KA6	Incipent	Control	7	8	-1.37562451564152	-3.74488719154283	11.1101118004875	0.00318415870255244	-0.730167211631295	-0.19000625265442	2.43836814285714	2.898454875	0	two.sided	Welch Two Sample t-test	0.999448188432275
74	236025_at|NCOR2	Incipent	Control	7	8	1.19678196466002	3.7363021655707	11.1841798910627	0.00319622311911777	0.106800045249296	0.411520633322133	2.12496071428571	1.865800375	0	two.sided	Welch Two Sample t-test	0.999448188432275
75	215143_at|DPY19L2P2	Incipent	Control	7	8	-1.65598942998193	-3.62700868538505	12.5727747161711	0.00322928376614152	-1.16263417615155	-0.29275275241988	5.39192728571429	6.11962075	0	two.sided	Welch Two Sample t-test	0.999448188432275
76	235823_at|ACSF3	Incipent	Control	7	8	1.23936815419653	3.62935691657305	12.4344347435619	0.00327010821201499	0.12445733784117	0.494752269301686	4.15640342857143	3.846798625	0	two.sided	Welch Two Sample t-test	0.999448188432275
77	230164_at|ZNF621	Incipent	Control	7	8	1.31453730936012	3.70067301927546	11.4241701025506	0.00328562404816551	0.160951050566414	0.628159128005014	5.75390571428571	5.359350625	0	two.sided	Welch Two Sample t-test	0.999448188432275
78	212221_x_at|IDS	Incipent	Control	7	8	-1.16487646412673	-3.73110014241207	10.956195048131	0.0033395534093766	-0.350123283110045	-0.0902306454613844	11.9200742857143	12.14025125	0	two.sided	Welch Two Sample t-test	0.999448188432275
79	240445_at|PCDHB15	Incipent	Control	7	8	1.43076861284038	3.58505941325308	12.8635546451492	0.00337773409646548	0.205034665653238	0.828546084346761	4.04444	3.527649625	0	two.sided	Welch Two Sample t-test	0.999448188432275
80	204586_at|BSN	Incipent	Control	7	8	-1.4319345690106	-4.08080405587125	8.04692681495509	0.00348683638078146	-0.810363682405767	-0.225567460451376	7.22238942857143	7.740355	0	two.sided	Welch Two Sample t-test	0.999448188432275
81	228091_at|STX17	Incipent	Control	7	8	1.49248035966226	3.58255788657168	12.5825147266528	0.00350669661707622	0.228159072341565	0.927264820515579	3.60337157142857	3.025659625	0	two.sided	Welch Two Sample t-test	0.999448188432275
82	201004_at|SSR4	Incipent	Control	7	8	-1.36758111968751	-3.56920611898288	12.7761247111704	0.00351616237634593	-0.725474516256736	-0.177778305171835	3.36240371428571	3.814030125	0	two.sided	Welch Two Sample t-test	0.999448188432275
83	218501_at|ARHGEF3	Incipent	Control	7	8	-1.46064370428682	-3.66434724187712	11.2213672417425	0.00360786002973388	-0.874132946897485	-0.219075660245373	6.56405557142857	7.110659875	0	two.sided	Welch Two Sample t-test	0.999448188432275
84	228938_at|MBP	Incipent	Control	7	8	1.80724471930087	3.62877961174236	11.524869494512	0.00368360486090398	0.338799391338479	1.36878435866152	4.45531	3.601518125	0	two.sided	Welch Two Sample t-test	0.999448188432275
85	227210_at|SFMBT2	Incipent	Control	7	8	1.5407343943808	3.58261406070367	12.1298220608603	0.00370367745477208	0.244806466799286	1.00242989034357	5.35119542857143	4.72757725	0	two.sided	Welch Two Sample t-test	0.999448188432275
86	219086_at|ZNF839	Incipent	Control	7	8	-1.48230763526042	-3.59411791720605	11.9554035384978	0.00370639490340068	-0.912224187860531	-0.223465597853755	3.11280785714286	3.68065275	0	two.sided	Welch Two Sample t-test	0.999448188432275
87	212934_at|UBXN2B	Incipent	Control	7	8	-1.43100666632676	-3.550267180658	12.5112468355036	0.0037574892474502	-0.832901864727757	-0.20115892098653	5.34015885714286	5.85718925	0	two.sided	Welch Two Sample t-test	0.999448188432275
88	215283_at|LINC00667	Incipent	Control	7	8	1.27890935820817	3.54859058416002	12.4871481085446	0.00377994203294366	0.137938138857185	0.571889896857102	6.46029914285714	6.105385125	0	two.sided	Welch Two Sample t-test	0.999448188432275
89	201243_s_at|ATP1B1	Incipent	Control	7	8	-1.27337639738752	-3.52106000438108	12.8550406677929	0.0038192632063217	-0.56282629607926	-0.134491561063596	10.7846785714286	11.1333375	0	two.sided	Welch Two Sample t-test	0.999448188432275
90	200021_at|CFL1	Incipent	Control	7	8	-1.22395743999736	-3.53304706969566	12.5780295335337	0.00385142486044797	-0.470440785008536	-0.11266600070575	10.4145128571429	10.70606625	0	two.sided	Welch Two Sample t-test	0.999448188432275
91	1556181_at|ANKRD65	Incipent	Control	7	8	1.40741040455513	3.65423125897664	10.8640657953976	0.0038696127833822	0.195623641705946	0.790462525436912	5.41224331957143	4.919200236	0	two.sided	Welch Two Sample t-test	0.999448188432275
92	204165_at|WASF1	Incipent	Control	7	8	-1.19665502122153	-3.55365338027435	12.076736231942	0.0039326512607926	-0.417697793792387	-0.100316813350472	9.17768757142857	9.436694875	0	two.sided	Welch Two Sample t-test	0.999448188432275
93	238298_at|LINC00845	Incipent	Control	7	8	-1.27767789728624	-3.58260839541051	11.5396321195486	0.00399423689747109	-0.569479966277495	-0.137568390865362	1.87775257142857	2.23127675	0	two.sided	Welch Two Sample t-test	0.999448188432275
94	222056_s_at|FAHD2A	Incipent	Control	7	8	1.44115286778716	3.50481645047109	12.7232225059729	0.00399680511761783	0.201522812688448	0.852923937311553	5.049959	4.522735625	0	two.sided	Welch Two Sample t-test	0.999448188432275
95	213055_at|CD47	Incipent	Control	7	8	-1.28005341903501	-3.91262344366565	8.46508494260203	0.00399849489250907	-0.564151056327922	-0.148256979386365	7.03576385714286	7.391967875	0	two.sided	Welch Two Sample t-test	0.999448188432275
96	1555815_a_at|L3MBTL2	Incipent	Control	7	8	1.37499201744383	3.48850397437088	12.9911350808711	0.00400506858840428	0.174890837862407	0.743955648244736	3.02293796542857	2.563514722375	0	two.sided	Welch Two Sample t-test	0.999448188432275
97	214679_x_at|GNA11	Incipent	Control	7	8	1.30208860510654	3.78505313013779	9.37641286199352	0.00400797544198587	0.154609196310588	0.607046053689412	5.727539	5.346711375	0	two.sided	Welch Two Sample t-test	0.999448188432275
98	205438_at|PTPN21	Incipent	Control	7	8	1.25223595331788	3.72169563652576	9.89146928687354	0.00403917686278101	0.129938615516168	0.51907424162669	3.94914742857143	3.624641	0	two.sided	Welch Two Sample t-test	0.999448188432275
99	214700_x_at|RIF1	Incipent	Control	7	8	-1.23752241846029	-3.57765986821629	11.4724360103449	0.00406592246370381	-0.495655535329242	-0.119253786099328	5.38044871428571	5.687903375	0	two.sided	Welch Two Sample t-test	0.999448188432275
100	227580_s_at|TECPR1	Incipent	Control	7	8	1.5088549711359	3.59816695669355	11.1537030953444	0.00409391380892937	0.231049884416205	0.95585840129808	3.59020214285714	2.996748	0	two.sided	Welch Two Sample t-test	0.999448188432275
101	215756_at|BTG2-DT	Incipent	Control	7	8	-1.28336681974919	-3.62564831425423	10.6839020232932	0.00417634462083171	-0.579226107324084	-0.140641071247344	2.33698328571429	2.696916875	0	two.sided	Welch Two Sample t-test	0.999448188432275
102	228061_at|CCDC126	Incipent	Control	7	8	-1.33363558042286	-3.46828052958788	12.9088412236117	0.00419969660955084	-0.67427810794528	-0.156450892054719	5.466025	5.8813895	0	two.sided	Welch Two Sample t-test	0.999448188432275
103	215208_x_at|RPL35A	Incipent	Control	7	8	1.23890149390052	3.4774023222936	12.7429568680607	0.00420123724457303	0.116659699288895	0.501463264996819	8.41442485714286	8.105363375	0	two.sided	Welch Two Sample t-test	0.999448188432275
104	201478_s_at|DKC1	Incipent	Control	7	8	1.65464853249329	4.07150406188618	7.40343188276434	0.00421090605005444	0.309194637135747	1.14385497000711	6.18735142857143	5.460826625	0	two.sided	Welch Two Sample t-test	0.999448188432275
105	214814_at|YTHDC1	Incipent	Control	7	8	1.20979816286354	3.60041937221259	10.8118557632853	0.0042809540820256	0.106440661165143	0.443092088834856	5.567907	5.293140625	0	two.sided	Welch Two Sample t-test	0.999448188432275
106	241703_at|RUNDC3B	Incipent	Control	7	8	-1.40563435446966	-3.45464135863038	12.913616216026	0.00430853611351477	-0.798616883050547	-0.183825831235169	6.08924214285714	6.5804635	0	two.sided	Welch Two Sample t-test	0.999448188432275
107	201893_x_at|DCN	Incipent	Control	7	8	1.60861148831566	3.51529921254055	11.8538391464455	0.00433631252179472	0.260159254999202	1.11147260214366	4.08999842857143	3.4041825	0	two.sided	Welch Two Sample t-test	0.999448188432275
108	225733_at|B3GALT6	Incipent	Control	7	8	-1.41923755333875	-3.46207678396525	12.6055556572141	0.00439001330038621	-0.82131884491814	-0.188913333653288	4.19750828571429	4.702624375	0	two.sided	Welch Two Sample t-test	0.999448188432275
109	203011_at|IMPA1	Incipent	Control	7	8	-1.35049881598334	-3.65267980341748	10.0532476465404	0.00440384481382039	-0.697733496029793	-0.169251253970207	6.642815	7.076307375	0	two.sided	Welch Two Sample t-test	0.999448188432275
110	242328_at|RAB3C	Incipent	Control	7	8	-1.79697796004542	-3.5368131305726	11.4128229314912	0.00440926400314109	-1.36946595758218	-0.321679470989247	5.44897428571429	6.294547	0	two.sided	Welch Two Sample t-test	0.999448188432275
111	236203_at|HLA-DQA1	Incipent	Control	7	8	-1.3220933407091	-3.43455917526908	12.9385960961289	0.00446581235556377	-0.656326273366893	-0.149321798061679	1.38148421428571	1.78430825	0	two.sided	Welch Two Sample t-test	0.999448188432275
112	217050_at|DIAPH2-AS1	Incipent	Control	7	8	-1.37796788782529	-3.43467062703773	12.898330872534	0.00448345724316456	-0.753709366606269	-0.171375169108017	3.60526485714286	4.067807125	0	two.sided	Welch Two Sample t-test	0.999448188432275
113	206534_at|GRIN2A	Incipent	Control	7	8	-1.48287141289185	-3.42802642293769	12.9999693567171	0.00449377970109374	-0.92659954764102	-0.210187452358978	6.489646	7.0580395	0	two.sided	Welch Two Sample t-test	0.999448188432275
